id;start_date;end_date;language
1;2019-12-30T21:09:33;2019-12-30T18:59:48;SPANISH
2;2019-12-30T01:59:44;2019-12-30T21:04:09;SPANISH
3;2019-12-30T16:55:03;2019-12-30T03:29:12;FRENCH
4;2019-12-30T08:12:34;2019-12-30T19:44:00;FRENCH
5;2019-12-30T17:42:52;2019-12-30T22:29:51;FRENCH
6;2019-12-30T11:35:13;2019-12-30T23:43:27;FRENCH
7;2019-12-30T13:20:33;2019-12-30T07:11:24;FRENCH
8;2019-12-30T12:16:46;2019-12-30T22:32:54;SPANISH
9;2019-12-30T10:57:55;2019-12-30T07:39:18;SPANISH
10;2019-12-30T19:09:59;2019-12-30T05:44:29;SPANISH
